Customer_ID,Customer_Name,Age,Gender,Occupation,Monthly_Income,Credit_Score,Join_Date
CUST-1001,Ashley Lopez,34,Male,Self-Employed Business,13923.71,742,2021-10-06
CUST-1002,Mark Smith,50,Female,Self-Employed Business,15723.9,850,2020-10-02
CUST-1003,David Gonzalez,56,Male,Gig Economy Worker,2238.72,652,2021-11-07
CUST-1004,Karen Scott,59,Female,Freelancer,6943.56,759,2021-03-12
CUST-1005,Charles Davis,38,Female,Gig Economy Worker,3414.48,688,2021-04-08
CUST-1006,Kimberly Robinson,43,Female,Salaried Professional,7117.94,650,2022-08-14
CUST-1007,Michelle Lee,39,Female,Blue Collar Worker,3574.4,646,2022-01-11
CUST-1008,Daniel Martinez,28,Female,Salaried Professional,5001.68,671,2021-09-17
CUST-1009,Donald Scott,54,Female,Salaried Professional,8856.13,741,2020-07-16
CUST-1010,Michael Harris,41,Female,Self-Employed Business,11647.1,693,2020-07-26
CUST-1011,Paul Brown,32,Female,Salaried Professional,8329.0,653,2021-04-15
CUST-1012,Nancy Perez,42,Male,Blue Collar Worker,4913.86,754,2022-08-29
CUST-1013,Jennifer Thompson,55,Female,Salaried Professional,7138.26,668,2021-07-15
CUST-1014,Lisa Wilson,51,Female,Self-Employed Business,12182.06,588,2022-04-08
CUST-1015,Barbara Ramirez,49,Female,Retired,4134.19,850,2022-03-22
CUST-1016,Mary Thomas,44,Female,Salaried Professional,13451.46,765,2021-07-12
CUST-1017,Thomas Miller,46,Male,Salaried Professional,11269.67,784,2021-05-02
CUST-1018,Lisa Thompson,30,Male,Blue Collar Worker,3688.66,729,2022-02-09
CUST-1019,Thomas Williams,26,Male,Salaried Professional,6438.48,619,2022-05-30
CUST-1020,Christopher Sanchez,30,Female,Freelancer,6324.09,689,2020-07-27
CUST-1021,Joshua Flores,18,Female,Salaried Professional,11914.22,776,2021-01-04
CUST-1022,Daniel Nguyen,49,Female,Salaried Professional,13320.57,767,2022-03-21
CUST-1023,Donna Young,33,Female,Blue Collar Worker,2933.86,806,2022-09-11
CUST-1024,Donald Flores,30,Male,Blue Collar Worker,3243.35,742,2021-08-17
CUST-1025,Elizabeth Brown,46,Male,Salaried Professional,6248.87,712,2021-05-17
CUST-1026,Jennifer Sanchez,41,Female,Blue Collar Worker,3699.58,682,2022-02-10
CUST-1027,Sandra Ramirez,18,Female,Self-Employed Business,14747.3,618,2021-10-08
CUST-1028,Barbara King,41,Male,Salaried Professional,7018.41,785,2020-10-04
CUST-1029,Anthony Anderson,49,Male,Salaried Professional,7953.46,781,2020-06-18
CUST-1030,Jessica White,50,Male,Salaried Professional,11127.88,761,2022-02-23
CUST-1031,Lisa Thompson,32,Female,Blue Collar Worker,2450.83,681,2020-12-10
CUST-1032,Richard Robinson,25,Female,Gig Economy Worker,2158.56,657,2022-07-25
CUST-1033,Linda Thompson,41,Male,Salaried Professional,8227.35,818,2020-07-30
CUST-1034,Kimberly Flores,45,Female,Salaried Professional,13425.02,689,2022-04-30
CUST-1035,Paul Garcia,45,Female,Blue Collar Worker,4552.36,651,2020-11-11
CUST-1036,James Jones,28,Male,Retired,3417.63,591,2021-11-08
CUST-1037,Emily Thomas,43,Female,Gig Economy Worker,1987.92,686,2020-02-13
CUST-1038,Margaret Williams,34,Female,Student,526.52,589,2020-10-03
CUST-1039,Jessica Martinez,50,Female,Student,1681.27,582,2021-01-22
CUST-1040,Matthew Rodriguez,49,Female,Blue Collar Worker,4236.82,663,2022-04-17
CUST-1041,John Jackson,38,Female,Salaried Professional,10507.55,615,2020-10-04
CUST-1042,Joshua Walker,51,Male,Salaried Professional,7325.14,751,2022-07-01
CUST-1043,Betty Scott,54,Female,Gig Economy Worker,3678.3,703,2022-02-02
CUST-1044,Michael King,56,Female,Blue Collar Worker,2844.31,777,2020-12-17
CUST-1045,Margaret Martin,45,Female,Salaried Professional,9534.69,774,2021-09-09
CUST-1046,Richard Clark,35,Female,Freelancer,5682.13,568,2020-11-11
CUST-1047,Joshua Robinson,18,Male,Salaried Professional,8623.95,597,2022-01-18
CUST-1048,John Moore,50,Female,Freelancer,3000.88,622,2022-06-27
CUST-1049,Anthony Williams,49,Male,Retired,2543.93,682,2022-07-28
CUST-1050,Elizabeth Williams,40,Male,Freelancer,3658.67,718,2021-04-03
CUST-1051,Patricia Walker,25,Female,Blue Collar Worker,3359.6,653,2021-03-26
CUST-1052,Kimberly Lee,38,Female,Salaried Professional,12328.53,706,2020-05-04
CUST-1053,William Anderson,22,Female,Gig Economy Worker,3936.02,663,2021-09-12
CUST-1054,Michael Robinson,18,Male,Salaried Professional,6509.36,628,2020-09-18
CUST-1055,Matthew Gonzalez,62,Male,Blue Collar Worker,4980.33,745,2021-12-26
CUST-1056,Michelle Hill,18,Male,Freelancer,7653.99,660,2020-09-29
CUST-1057,Donna Flores,40,Female,Salaried Professional,7295.59,689,2020-06-22
CUST-1058,Thomas Moore,58,Female,Freelancer,4494.8,711,2020-01-05
CUST-1059,Michael Lee,51,Female,Salaried Professional,6523.34,610,2021-05-20
CUST-1060,Michelle Robinson,24,Female,Salaried Professional,13758.61,638,2020-11-18
CUST-1061,Joshua Gonzalez,58,Male,Salaried Professional,10253.45,850,2020-09-18
CUST-1062,Patricia Lewis,38,Male,Salaried Professional,9067.38,710,2020-01-14
CUST-1063,Charles Torres,47,Female,Self-Employed Business,11264.88,621,2020-12-29
CUST-1064,Betty Taylor,61,Male,Blue Collar Worker,2582.87,588,2022-06-04
CUST-1065,Nancy King,47,Female,Freelancer,4236.55,551,2020-01-22
CUST-1066,Christopher Wilson,58,Female,Salaried Professional,13235.16,683,2021-09-09
CUST-1067,Michelle Lopez,30,Female,Salaried Professional,10520.84,777,2021-12-03
CUST-1068,Barbara Martin,54,Male,Retired,3140.86,742,2020-08-01
CUST-1069,Robert Garcia,28,Male,Salaried Professional,9259.31,850,2022-08-31
CUST-1070,William Clark,27,Male,Self-Employed Business,14630.59,782,2022-02-06
CUST-1071,Anthony Harris,33,Male,Salaried Professional,8795.49,769,2021-06-01
CUST-1072,Michael Ramirez,59,Male,Self-Employed Business,12497.13,788,2022-09-26
CUST-1073,Jessica Smith,39,Female,Gig Economy Worker,2571.38,661,2022-02-26
CUST-1074,Jessica King,49,Female,Salaried Professional,10176.5,761,2020-05-11
CUST-1075,Steven Rodriguez,35,Male,Blue Collar Worker,4329.67,477,2021-02-17
CUST-1076,Jessica Sanchez,52,Male,Self-Employed Business,6679.69,762,2021-09-12
CUST-1077,Jennifer Anderson,45,Female,Salaried Professional,6766.5,686,2020-08-20
CUST-1078,Betty Hernandez,43,Male,Freelancer,3792.63,695,2020-01-15
CUST-1079,Nancy Sanchez,35,Male,Blue Collar Worker,3740.89,701,2021-12-09
CUST-1080,Matthew Torres,48,Female,Gig Economy Worker,3589.35,762,2022-08-12
CUST-1081,Kimberly Smith,31,Male,Salaried Professional,8141.67,647,2020-06-19
CUST-1082,Mary Thomas,43,Female,Student,1244.69,579,2020-08-19
CUST-1083,Thomas Taylor,42,Male,Blue Collar Worker,3645.01,742,2022-08-06
CUST-1084,Matthew Walker,18,Male,Salaried Professional,13772.5,790,2021-07-14
CUST-1085,Richard Lewis,46,Male,Salaried Professional,5876.79,628,2020-09-19
CUST-1086,David Thomas,37,Female,Student,514.43,615,2021-10-28
CUST-1087,Sarah Thomas,38,Male,Salaried Professional,4961.98,701,2021-01-19
CUST-1088,Nancy Jones,43,Female,Blue Collar Worker,4355.02,623,2021-11-18
CUST-1089,Matthew Flores,59,Female,Salaried Professional,7683.26,850,2021-02-05
CUST-1090,William White,52,Female,Self-Employed Business,13208.7,772,2020-10-14
CUST-1091,David Gonzalez,40,Female,Salaried Professional,10231.84,626,2021-08-19
CUST-1092,Nancy Wilson,33,Male,Salaried Professional,10274.83,652,2021-01-30
CUST-1093,Ashley Williams,24,Male,Blue Collar Worker,3854.83,673,2021-03-10
CUST-1094,Donna Gonzalez,56,Female,Salaried Professional,11245.72,706,2021-02-09
CUST-1095,Kimberly Brown,33,Female,Freelancer,7399.64,679,2022-08-18
CUST-1096,Jessica Jackson,45,Female,Salaried Professional,7355.74,765,2022-03-26
CUST-1097,Jennifer Smith,50,Male,Self-Employed Business,5184.23,656,2020-11-07
CUST-1098,Mary Hill,38,Female,Salaried Professional,7902.63,736,2022-02-22
CUST-1099,Anthony Torres,40,Male,Retired,3864.06,641,2020-07-24
CUST-1100,James Nguyen,53,Male,Blue Collar Worker,4940.03,674,2020-09-20
CUST-1101,Linda Harris,41,Female,Salaried Professional,7532.93,660,2022-08-26
CUST-1102,Sarah Sanchez,50,Female,Salaried Professional,7172.65,697,2021-12-17
CUST-1103,William Hernandez,25,Male,Freelancer,7764.32,686,2022-02-05
CUST-1104,Barbara Martin,26,Male,Student,747.59,628,2022-09-18
CUST-1105,Susan Miller,53,Female,Salaried Professional,9442.77,705,2020-04-13
CUST-1106,Patricia Jackson,52,Female,Freelancer,3261.53,634,2020-06-01
CUST-1107,David Smith,49,Male,Self-Employed Business,14271.26,732,2021-02-03
CUST-1108,Thomas Sanchez,43,Female,Salaried Professional,8142.86,689,2021-12-06
CUST-1109,Sandra Rodriguez,35,Male,Retired,1560.19,699,2021-10-26
CUST-1110,Kimberly Sanchez,37,Female,Salaried Professional,9536.33,725,2021-11-28
CUST-1111,Nancy Hernandez,41,Female,Salaried Professional,5457.59,688,2020-11-23
CUST-1112,Nancy Thomas,27,Female,Blue Collar Worker,5405.82,532,2022-03-10
CUST-1113,Elizabeth Smith,74,Male,Salaried Professional,5444.18,657,2021-04-20
CUST-1114,Patricia Thomas,34,Male,Blue Collar Worker,2423.96,614,2021-05-31
CUST-1115,Emily Gonzalez,48,Male,Salaried Professional,6154.34,596,2020-02-24
CUST-1116,Elizabeth Sanchez,30,Female,Salaried Professional,12925.82,670,2020-04-15
CUST-1117,Joseph Walker,54,Male,Gig Economy Worker,3878.18,756,2022-07-04
CUST-1118,Mary Garcia,39,Female,Retired,3360.66,705,2020-12-09
CUST-1119,William Rodriguez,32,Female,Self-Employed Business,3807.24,657,2022-07-14
CUST-1120,Lisa Young,55,Female,Salaried Professional,12573.38,746,2021-07-16
CUST-1121,Jessica Gonzalez,28,Female,Salaried Professional,7869.22,687,2020-12-13
CUST-1122,Mary Wilson,30,Female,Self-Employed Business,10361.42,668,2022-02-18
CUST-1123,Emily Scott,61,Female,Self-Employed Business,11876.94,776,2021-10-25
CUST-1124,Joseph Ramirez,41,Male,Salaried Professional,5650.1,581,2021-10-30
CUST-1125,Nancy Gonzalez,24,Male,Blue Collar Worker,3642.74,563,2021-04-28
CUST-1126,Steven Torres,39,Female,Gig Economy Worker,4104.5,759,2021-02-28
CUST-1127,Sandra Robinson,64,Male,Blue Collar Worker,2210.87,621,2021-11-11
CUST-1128,Charles Jones,47,Female,Freelancer,6531.21,642,2020-10-14
CUST-1129,Christopher Lewis,44,Female,Self-Employed Business,5300.59,710,2021-12-18
CUST-1130,Steven White,40,Female,Salaried Professional,11793.93,566,2022-02-04
CUST-1131,Christopher Perez,41,Female,Salaried Professional,9879.29,812,2021-03-19
CUST-1132,Richard Lee,38,Male,Freelancer,3289.65,690,2022-01-15
CUST-1133,Daniel Taylor,34,Female,Salaried Professional,9298.5,765,2020-07-16
CUST-1134,Lisa Sanchez,50,Female,Blue Collar Worker,3523.71,645,2021-07-03
CUST-1135,Daniel Thompson,48,Female,Gig Economy Worker,2650.19,635,2021-03-08
CUST-1136,Donald Martinez,31,Male,Gig Economy Worker,2299.17,679,2021-08-05
CUST-1137,Mark Garcia,46,Male,Blue Collar Worker,5296.36,659,2021-11-22
CUST-1138,Christopher Hernandez,47,Female,Self-Employed Business,8767.14,697,2020-04-25
CUST-1139,Matthew King,55,Male,Blue Collar Worker,5318.11,676,2020-03-09
CUST-1140,Sandra Hill,54,Female,Blue Collar Worker,3909.27,750,2021-06-09
CUST-1141,Matthew Anderson,46,Male,Salaried Professional,13786.98,650,2022-09-19
CUST-1142,Patricia Brown,32,Female,Blue Collar Worker,4750.76,493,2020-09-26
CUST-1143,Patricia Taylor,18,Female,Blue Collar Worker,2423.35,762,2021-01-21
CUST-1144,Lisa Garcia,44,Female,Salaried Professional,11510.15,850,2020-01-03
CUST-1145,Kimberly Brown,26,Female,Blue Collar Worker,3365.29,658,2021-04-05
CUST-1146,Michelle Rodriguez,55,Male,Gig Economy Worker,4753.2,697,2022-01-08
CUST-1147,Elizabeth Smith,34,Female,Salaried Professional,12810.78,674,2021-06-11
CUST-1148,Margaret Harris,30,Male,Freelancer,6092.12,693,2022-08-26
CUST-1149,Karen Williams,28,Male,Retired,2581.32,570,2020-02-22
CUST-1150,Thomas Davis,28,Female,Salaried Professional,6302.21,661,2021-05-07
CUST-1151,Robert Nguyen,37,Female,Salaried Professional,8059.88,743,2020-04-02
CUST-1152,Sarah Lee,37,Male,Salaried Professional,12540.7,604,2020-10-25
CUST-1153,Lisa Hill,46,Female,Blue Collar Worker,3892.01,564,2021-10-08
CUST-1154,Christopher Lewis,40,Female,Self-Employed Business,6638.79,726,2022-06-02
CUST-1155,Robert Wilson,21,Female,Gig Economy Worker,1880.79,666,2020-09-15
CUST-1156,Joshua Walker,26,Female,Salaried Professional,8597.81,653,2022-09-10
CUST-1157,Paul Wilson,27,Female,Blue Collar Worker,4313.57,619,2020-12-24
CUST-1158,Nancy Thomas,67,Male,Gig Economy Worker,3785.29,633,2020-11-16
CUST-1159,Patricia Sanchez,60,Female,Salaried Professional,8553.37,789,2020-09-05
CUST-1160,Andrew Robinson,57,Male,Blue Collar Worker,3200.4,638,2020-02-15
CUST-1161,Karen Perez,31,Male,Blue Collar Worker,4096.11,850,2021-06-27
CUST-1162,Sarah Ramirez,25,Male,Salaried Professional,10625.46,517,2022-07-04
CUST-1163,Sarah Ramirez,22,Male,Gig Economy Worker,4300.26,638,2021-01-06
CUST-1164,Anthony Clark,56,Male,Gig Economy Worker,4035.37,665,2020-01-25
CUST-1165,Charles Nguyen,22,Male,Salaried Professional,9729.76,555,2021-11-01
CUST-1166,Andrew Taylor,25,Female,Blue Collar Worker,4897.22,635,2022-01-07
CUST-1167,Patricia Gonzalez,42,Female,Salaried Professional,9707.93,766,2020-06-26
CUST-1168,Robert White,33,Female,Blue Collar Worker,5407.49,674,2021-08-16
CUST-1169,Betty Davis,51,Female,Self-Employed Business,4486.33,646,2020-08-25
CUST-1170,Christopher Sanchez,50,Male,Salaried Professional,12774.38,748,2021-08-17
CUST-1171,James Jackson,28,Female,Self-Employed Business,4606.14,628,2020-10-12
CUST-1172,Andrew Martin,52,Female,Salaried Professional,10954.03,686,2020-11-23
CUST-1173,James Sanchez,44,Female,Salaried Professional,11877.6,733,2020-11-08
CUST-1174,Sandra Jones,39,Female,Blue Collar Worker,4331.39,577,2020-05-23
CUST-1175,William Jones,18,Female,Salaried Professional,6847.64,657,2020-11-02
CUST-1176,Paul Flores,51,Male,Salaried Professional,10882.26,696,2020-04-13
CUST-1177,Joseph Ramirez,31,Male,Gig Economy Worker,3775.5,667,2020-04-30
CUST-1178,Donald Thomas,28,Male,Salaried Professional,8534.09,812,2022-01-28
CUST-1179,Joshua Williams,24,Female,Self-Employed Business,4786.93,699,2021-03-22
CUST-1180,Emily Garcia,33,Male,Self-Employed Business,12928.55,663,2021-10-11
CUST-1181,Ashley Allen,44,Male,Salaried Professional,12410.08,735,2021-01-15
CUST-1182,Paul Moore,28,Male,Salaried Professional,9867.12,747,2021-01-25
CUST-1183,Matthew Young,42,Male,Self-Employed Business,9079.38,568,2021-10-23
CUST-1184,Susan Jones,33,Male,Freelancer,6875.24,605,2020-06-19
CUST-1185,Kimberly Robinson,53,Female,Self-Employed Business,5507.49,584,2021-10-03
CUST-1186,Lisa Taylor,58,Male,Self-Employed Business,13413.12,678,2022-03-26
CUST-1187,Betty Moore,34,Male,Salaried Professional,12479.85,588,2020-12-29
CUST-1188,Karen Davis,42,Male,Freelancer,4135.82,649,2022-09-02
CUST-1189,Mary Johnson,28,Male,Blue Collar Worker,5387.67,623,2021-02-09
CUST-1190,Donna Sanchez,47,Female,Gig Economy Worker,2050.23,732,2020-03-31
CUST-1191,Michael Hill,68,Female,Self-Employed Business,8506.47,850,2022-07-30
CUST-1192,Charles Martinez,28,Male,Self-Employed Business,9260.0,656,2020-09-27
CUST-1193,Nancy Thomas,37,Male,Self-Employed Business,15084.99,842,2022-04-12
CUST-1194,Betty White,57,Female,Salaried Professional,11165.78,710,2020-05-04
CUST-1195,Donald Sanchez,27,Female,Self-Employed Business,8785.77,676,2021-07-31
CUST-1196,Joseph Flores,26,Female,Blue Collar Worker,3665.12,704,2021-08-16
CUST-1197,Betty Jackson,34,Female,Salaried Professional,8806.2,688,2021-01-26
CUST-1198,Margaret Miller,39,Female,Salaried Professional,11610.37,705,2021-12-23
CUST-1199,Paul Allen,34,Male,Blue Collar Worker,2560.58,521,2021-10-04
CUST-1200,Thomas King,28,Female,Blue Collar Worker,5169.8,583,2022-01-19
CUST-1201,Betty Smith,42,Male,Retired,1837.3,515,2021-02-09
CUST-1202,Margaret Johnson,33,Female,Self-Employed Business,12103.75,773,2021-03-28
CUST-1203,Mary Martinez,46,Male,Retired,1535.22,570,2020-08-13
CUST-1204,Joseph Miller,47,Male,Salaried Professional,8561.1,850,2021-08-13
CUST-1205,Nancy Sanchez,46,Male,Blue Collar Worker,4492.18,759,2022-08-27
CUST-1206,Thomas Williams,40,Female,Blue Collar Worker,3903.16,616,2022-08-13
CUST-1207,Donna Davis,42,Male,Salaried Professional,10099.26,834,2021-09-12
CUST-1208,Mary Martinez,51,Male,Self-Employed Business,15858.08,762,2022-05-05
CUST-1209,Charles Anderson,42,Male,Salaried Professional,7732.02,824,2021-11-16
CUST-1210,Donald Brown,35,Female,Salaried Professional,6338.19,685,2021-11-03
CUST-1211,Andrew Sanchez,49,Male,Gig Economy Worker,4582.55,705,2021-02-22
CUST-1212,Ashley Taylor,28,Male,Self-Employed Business,3688.43,639,2021-06-27
CUST-1213,Kimberly Thompson,49,Female,Blue Collar Worker,4926.31,559,2020-10-29
CUST-1214,John Wilson,42,Female,Salaried Professional,7515.37,790,2020-03-20
CUST-1215,Donald Williams,44,Female,Salaried Professional,8110.78,747,2020-01-25
CUST-1216,Thomas Davis,40,Male,Self-Employed Business,15909.88,850,2020-03-30
CUST-1217,Michael Allen,43,Female,Student,1352.43,576,2022-09-11
CUST-1218,Barbara Johnson,34,Female,Self-Employed Business,4985.99,659,2022-02-28
CUST-1219,Linda Rodriguez,45,Male,Gig Economy Worker,2333.52,800,2021-02-08
CUST-1220,Michelle Hernandez,19,Female,Salaried Professional,9406.1,666,2021-04-25
CUST-1221,Christopher Gonzalez,34,Male,Self-Employed Business,10974.46,767,2020-11-03
CUST-1222,Daniel Jackson,47,Female,Salaried Professional,11256.01,785,2020-01-02
CUST-1223,Donald King,33,Female,Salaried Professional,12140.2,717,2022-02-08
CUST-1224,Robert Lewis,32,Female,Salaried Professional,5390.98,670,2020-07-05
CUST-1225,Steven Jones,18,Male,Salaried Professional,7788.37,720,2020-10-05
CUST-1226,Sarah Garcia,21,Male,Retired,4052.65,567,2022-08-25
CUST-1227,Steven Johnson,45,Female,Student,1542.93,578,2020-12-13
CUST-1228,Karen Martinez,47,Male,Blue Collar Worker,2364.48,665,2021-11-18
CUST-1229,Donna Lewis,46,Male,Self-Employed Business,12724.58,838,2020-11-05
CUST-1230,Robert Lopez,61,Female,Salaried Professional,7825.75,661,2021-10-19
CUST-1231,John Rodriguez,41,Male,Salaried Professional,8324.0,707,2021-12-24
CUST-1232,Susan Nguyen,58,Male,Salaried Professional,8596.11,716,2020-12-11
CUST-1233,Patricia Hill,29,Female,Blue Collar Worker,3153.26,617,2020-05-20
CUST-1234,Lisa Nguyen,45,Female,Retired,3268.87,552,2020-11-06
CUST-1235,Christopher Johnson,42,Male,Retired,2386.66,648,2020-04-11
CUST-1236,Michael Hill,35,Female,Self-Employed Business,14713.95,850,2022-04-17
CUST-1237,Margaret Wright,38,Male,Salaried Professional,12835.1,670,2021-03-20
CUST-1238,Kimberly Gonzalez,44,Male,Salaried Professional,11234.72,718,2020-11-27
CUST-1239,Donna Walker,33,Male,Self-Employed Business,13972.27,726,2021-10-23
CUST-1240,Mark Scott,32,Female,Salaried Professional,13108.82,759,2022-04-21
CUST-1241,Steven Sanchez,34,Female,Freelancer,5746.86,805,2021-05-28
CUST-1242,Susan Jones,44,Male,Salaried Professional,13019.57,642,2020-08-05
CUST-1243,Emily Harris,26,Female,Blue Collar Worker,4822.76,727,2020-07-21
CUST-1244,Margaret Thompson,55,Male,Retired,3731.04,695,2020-01-17
