Customer_ID,Customer_Name,Segment,Region_ID,State,City,Join_Date
CUST-1001,Michelle Moore,Corporate,REG-02,California,Los Angeles,2022-07-24
CUST-1002,Sarah Rodriguez,Consumer,REG-04,Indiana,Indianapolis,2023-08-19
CUST-1003,Donna Lopez,Consumer,REG-01,Pennsylvania,Philadelphia,2023-06-03
CUST-1004,Sarah Hernandez,Consumer,REG-04,Indiana,Indianapolis,2022-05-28
CUST-1005,Dorothy Hernandez,Home Office,REG-01,Massachusetts,Boston,2023-10-28
CUST-1006,Sandra Green,Home Office,REG-02,Colorado,Denver,2022-05-11
CUST-1007,Daniel Lewis,Consumer,REG-01,Pennsylvania,Philadelphia,2023-01-06
CUST-1008,Matthew Lopez,Corporate,REG-01,Ohio,Cleveland,2023-03-01
CUST-1009,Steven Brown,Consumer,REG-01,New York,New York,2023-08-16
CUST-1010,Dorothy Wright,Consumer,REG-03,Texas,Houston,2023-02-27
CUST-1011,Amanda Martin,Corporate,REG-02,Arizona,Phoenix,2023-09-02
CUST-1012,John Wilson,Consumer,REG-02,Arizona,Phoenix,2022-04-22
CUST-1013,Jane Wilson,Consumer,REG-04,Indiana,Indianapolis,2023-09-29
CUST-1014,Kimberly Lee,Consumer,REG-03,Virginia,Richmond,2024-08-13
CUST-1015,Karen King,Consumer,REG-03,Texas,Houston,2024-08-17
CUST-1016,Helen Davis,Home Office,REG-02,Oregon,Portland,2024-05-27
CUST-1017,Amanda Hernandez,Consumer,REG-01,New Jersey,Newark,2023-08-27
CUST-1018,Sandra Robinson,Home Office,REG-04,Michigan,Detroit,2024-03-06
CUST-1019,Patricia Johnson,Consumer,REG-02,Washington,Seattle,2024-08-25
CUST-1020,Steven King,Consumer,REG-04,Illinois,Chicago,2023-01-14
CUST-1021,Charles Jones,Home Office,REG-04,Wisconsin,Milwaukee,2023-08-09
CUST-1022,Jessica Harris,Consumer,REG-01,New Jersey,Newark,2023-04-30
CUST-1023,Christopher Garcia,Corporate,REG-03,Virginia,Richmond,2022-04-14
CUST-1024,Donna White,Corporate,REG-02,Washington,Seattle,2024-05-26
CUST-1025,Michael Robinson,Consumer,REG-04,Illinois,Chicago,2022-08-08
CUST-1026,John Garcia,Home Office,REG-04,Indiana,Indianapolis,2023-09-05
CUST-1027,Emily Hall,Corporate,REG-02,Washington,Seattle,2023-06-28
CUST-1028,Robert Anderson,Corporate,REG-03,Texas,Houston,2023-07-29
CUST-1029,Christopher Hall,Corporate,REG-04,Wisconsin,Milwaukee,2022-04-12
CUST-1030,Donald Robinson,Corporate,REG-03,Texas,Houston,2022-07-15
CUST-1031,Matthew White,Home Office,REG-02,Arizona,Phoenix,2023-10-07
CUST-1032,Margaret Walker,Home Office,REG-04,Michigan,Detroit,2023-10-08
CUST-1033,Charles Martinez,Home Office,REG-04,Wisconsin,Milwaukee,2023-04-02
CUST-1034,Christopher Harris,Consumer,REG-03,Georgia,Atlanta,2023-04-21
CUST-1035,Betty Lewis,Consumer,REG-04,Michigan,Detroit,2022-07-09
CUST-1036,Steven Lopez,Consumer,REG-02,California,Los Angeles,2022-11-03
CUST-1037,Donna Martinez,Corporate,REG-04,Illinois,Chicago,2024-04-16
CUST-1038,William Hall,Home Office,REG-03,Texas,Houston,2023-12-25
CUST-1039,Michelle Wright,Consumer,REG-04,Wisconsin,Milwaukee,2022-02-16
CUST-1040,Kimberly Miller,Home Office,REG-04,Illinois,Chicago,2024-08-25
CUST-1041,Daniel Williams,Corporate,REG-01,Ohio,Cleveland,2022-08-15
CUST-1042,Sandra Scott,Home Office,REG-03,Texas,Houston,2024-05-16
CUST-1043,Joseph Hernandez,Consumer,REG-01,Pennsylvania,Philadelphia,2022-08-07
CUST-1044,Daniel Robinson,Consumer,REG-02,Arizona,Phoenix,2022-05-22
CUST-1045,Andrew Garcia,Consumer,REG-03,Virginia,Richmond,2024-04-25
CUST-1046,Carol Clark,Consumer,REG-02,California,San Francisco,2023-09-06
CUST-1047,Daniel Lee,Home Office,REG-03,Virginia,Richmond,2024-08-04
CUST-1048,Michael Thompson,Corporate,REG-04,Minnesota,Minneapolis,2022-11-23
CUST-1049,Sandra Rodriguez,Consumer,REG-03,Texas,Houston,2023-05-23
CUST-1050,Charles Thomas,Consumer,REG-01,Ohio,Cleveland,2023-11-07
CUST-1051,Joshua Martin,Consumer,REG-04,Illinois,Chicago,2023-01-11
CUST-1052,Matthew Thomas,Corporate,REG-03,Texas,Houston,2024-08-12
CUST-1053,Sandra Hall,Corporate,REG-03,Georgia,Atlanta,2024-09-14
CUST-1054,Jessica Johnson,Corporate,REG-02,Arizona,Phoenix,2024-07-25
CUST-1055,Michelle Perez,Corporate,REG-04,Wisconsin,Milwaukee,2022-02-04
CUST-1056,William Lopez,Consumer,REG-01,New Jersey,Newark,2024-05-18
CUST-1057,Michael Sanchez,Corporate,REG-01,Ohio,Cleveland,2024-06-23
CUST-1058,Emily King,Corporate,REG-04,Illinois,Chicago,2022-01-08
CUST-1059,Daniel Nelson,Consumer,REG-04,Illinois,Chicago,2023-10-21
CUST-1060,Patricia Perez,Consumer,REG-01,Pennsylvania,Philadelphia,2023-07-04
CUST-1061,Carol Perez,Corporate,REG-03,Georgia,Atlanta,2023-06-24
CUST-1062,Emily Lee,Corporate,REG-03,Virginia,Richmond,2023-05-07
CUST-1063,Jane Harris,Corporate,REG-03,Texas,Houston,2024-02-08
CUST-1064,Jessica Gonzalez,Consumer,REG-02,California,Los Angeles,2023-12-23
CUST-1065,Thomas Anderson,Corporate,REG-03,Florida,Miami,2023-01-15
CUST-1066,John Perez,Consumer,REG-03,Virginia,Richmond,2022-10-18
