Customer_ID,Customer_Name,Segment,Order_ID,Order_Date,Ship_Date,Ship_Mode,Product_ID,Product_Name,Category,Subcategory,Region,State,City,Quantity,Unit_Price,Discount,Sales,Cost,Profit,Return_Status,Return_Reason
CUST-1044,Daniel Robinson,Consumer,ORD-10001,2024-01-06,2024-01-07,First Class,PROD-1483,OnePlus 12 Gen-2,Technology,Phones,West,Arizona,Phoenix,3,327.84,0.0,983.52,792.72,190.8,Delivered,
CUST-1044,Daniel Robinson,Consumer,ORD-10001,2024-01-06,2024-01-07,First Class,PROD-1295,Writing Desk Wood Gen-2,Furniture,Tables,West,Arizona,Phoenix,2,149.46,0.1,269.03,172.52,96.51,Delivered,
CUST-1044,Daniel Robinson,Consumer,ORD-10001,2024-01-06,2024-01-07,First Class,PROD-1309,Clasp Kraft Envelopes Gen-4,Office Supplies,Envelopes,West,Arizona,Phoenix,1,769.44,0.1,692.5,510.07,182.43,Delivered,
CUST-1044,Daniel Robinson,Consumer,ORD-10001,2024-01-06,2024-01-07,First Class,PROD-1349,Index Dividers 8-Tab Gen-2,Office Supplies,Binders,West,Arizona,Phoenix,2,167.64,0.0,335.28,247.46,87.82,Delivered,
CUST-2200,Sandra Davis,Corporate,ORD-10002,2024-07-15,2024-07-22,Standard Class,PROD-1408,Catalog Envelopes Pack Gen-4,Office Supplies,Envelopes,Central,Indiana,Indianapolis,2,77.67,0.05,147.57,126.28,21.29,Delivered,
CUST-2200,Sandra Davis,Corporate,ORD-10002,2024-07-15,2024-07-22,Standard Class,PROD-1412,Xerox Altalink Copier Gen-5,Technology,Copiers,Central,Indiana,Indianapolis,1,160.36,0.2,128.29,83.12,45.17,Delivered,
CUST-2200,Sandra Davis,Corporate,ORD-10002,2024-07-15,2024-07-22,Standard Class,PROD-1341,A4 Copy Paper Ream Gen-3,Office Supplies,Paper,Central,Indiana,Indianapolis,1,51.06,0.15,43.4,35.2,8.2,Delivered,
CUST-1498,Steven Williams,Corporate,ORD-10003,2025-02-23,2025-02-28,Standard Class,PROD-1124,Sketchbook Spiral Bound Gen-5,Office Supplies,Art,East,Pennsylvania,Philadelphia,1,747.41,0.0,747.41,504.77,242.64,Delivered,
CUST-1715,Helen Hernandez,Home Office,ORD-10004,2024-05-17,2024-05-23,Standard Class,PROD-1292,Google Pixel 8 Gen-4,Technology,Phones,East,Pennsylvania,Philadelphia,2,474.96,0.2,759.94,801.56,-41.62,Delivered,
CUST-1715,Helen Hernandez,Home Office,ORD-10004,2024-05-17,2024-05-23,Standard Class,PROD-1075,Clasp Kraft Envelopes Model X,Office Supplies,Envelopes,East,Pennsylvania,Philadelphia,2,42.17,0.0,84.34,46.38,37.96,Delivered,
CUST-1210,Joseph Gonzalez,Corporate,ORD-10005,2026-02-02,2026-02-04,First Class,PROD-1391,Pocket Folder Pack 10-Pack Gen-4,Office Supplies,Binders,West,Arizona,Phoenix,2,719.44,0.0,1438.88,842.06,596.82,Returned,Unsatisfied
CUST-1210,Joseph Gonzalez,Corporate,ORD-10005,2026-02-02,2026-02-04,First Class,PROD-1039,Drafting Table Adjustable Model X,Furniture,Tables,West,Arizona,Phoenix,1,118.77,0.0,118.77,97.39,21.38,Returned,Unsatisfied
CUST-1210,Joseph Gonzalez,Corporate,ORD-10005,2026-02-02,2026-02-04,First Class,PROD-1136,Canon ImageRUNNER Gen-2,Technology,Copiers,West,Arizona,Phoenix,1,432.12,0.0,432.12,291.16,140.96,Returned,Unsatisfied
CUST-2765,John Nelson,Consumer,ORD-10006,2025-09-17,2025-09-24,Standard Class,PROD-1331,Sticky Notes 3x3 Pack Gen-5,Office Supplies,Paper,South,North Carolina,Charlotte,1,205.56,0.2,164.45,154.4,10.05,Returned,Unsatisfied
CUST-2674,Dorothy Martin,Home Office,ORD-10007,2026-05-11,2026-05-17,Standard Class,PROD-1094,3D Printer Pro Gen-5,Technology,Machines,East,Pennsylvania,Philadelphia,1,400.18,0.0,400.18,225.14,175.04,Delivered,
CUST-2674,Dorothy Martin,Home Office,ORD-10007,2026-05-11,2026-05-17,Standard Class,PROD-1229,Xerox Altalink Copier Gen-2,Technology,Copiers,East,Pennsylvania,Philadelphia,4,366.16,0.0,1464.64,790.36,674.28,Delivered,
CUST-2717,Ashley Jackson,Home Office,ORD-10008,2024-06-17,2024-06-19,First Class,PROD-1288,Heavy Duty Shelving Unit Gen-2,Office Supplies,Storage,West,Oregon,Portland,1,588.49,0.0,588.49,294.93,293.56,Delivered,
CUST-2717,Ashley Jackson,Home Office,ORD-10008,2024-06-17,2024-06-19,First Class,PROD-1323,Monitor Mount Arm Gen-3,Furniture,Furnishings,West,Oregon,Portland,1,113.75,0.15,96.69,91.43,5.26,Delivered,
CUST-2717,Ashley Jackson,Home Office,ORD-10008,2024-06-17,2024-06-19,First Class,PROD-1199,Colored Pencils 48-Pack Gen-3,Office Supplies,Art,West,Oregon,Portland,4,775.88,0.1,2793.17,2491.92,301.25,Delivered,
CUST-2717,Ashley Jackson,Home Office,ORD-10008,2024-06-17,2024-06-19,First Class,PROD-1212,USB-C Hub Multiport Gen-2,Technology,Accessories,West,Oregon,Portland,4,510.67,0.0,2042.68,1670.4,372.28,Delivered,
CUST-1272,Sarah King,Consumer,ORD-10009,2025-06-24,2025-07-01,Standard Class,PROD-1025,Document Scanner HighSpeed Model Elite,Technology,Machines,East,Ohio,Cleveland,3,868.97,0.0,2606.91,1824.84,782.07,Delivered,
CUST-2731,Carol Hall,Consumer,ORD-10010,2024-08-26,2024-08-30,Second Class,PROD-1186,Self-Seal Mailing Envelopes Gen-2,Office Supplies,Envelopes,West,Colorado,Denver,1,228.73,0.0,228.73,178.91,49.82,Delivered,
CUST-2296,Betty Rodriguez,Corporate,ORD-10011,2025-08-18,2025-08-19,First Class,PROD-1429,Monitor Mount Arm Gen-4,Furniture,Furnishings,South,North Carolina,Charlotte,2,665.17,0.1,1197.31,878.06,319.25,Delivered,
CUST-2296,Betty Rodriguez,Corporate,ORD-10011,2025-08-18,2025-08-19,First Class,PROD-1406,Metal Frame Bookshelf Gen-2,Furniture,Bookcases,South,North Carolina,Charlotte,3,348.28,0.0,1044.84,847.62,197.22,Delivered,
CUST-2296,Betty Rodriguez,Corporate,ORD-10011,2025-08-18,2025-08-19,First Class,PROD-1202,HP LaserJet Enterprise Gen-2,Technology,Copiers,South,North Carolina,Charlotte,2,265.71,0.0,531.42,372.43,158.99,Delivered,
CUST-2296,Betty Rodriguez,Corporate,ORD-10011,2025-08-18,2025-08-19,First Class,PROD-1362,Webcam 1080p Gen-3,Technology,Accessories,South,North Carolina,Charlotte,2,195.39,0.1,351.7,341.56,10.14,Delivered,
CUST-1049,Sandra Rodriguez,Consumer,ORD-10012,2024-09-25,2024-09-29,Standard Class,PROD-1108,Monitor Mount Arm Gen-5,Furniture,Furnishings,South,Texas,Houston,2,713.1,0.0,1426.2,952.37,473.83,Delivered,
CUST-1049,Sandra Rodriguez,Consumer,ORD-10012,2024-09-25,2024-09-29,Standard Class,PROD-1218,Cash Register Terminal Gen-3,Technology,Machines,South,Texas,Houston,1,716.18,0.0,716.18,600.22,115.96,Delivered,
CUST-1049,Sandra Rodriguez,Consumer,ORD-10012,2024-09-25,2024-09-29,Standard Class,PROD-1074,Bubble Mailers Pack 25 Model Elite,Office Supplies,Envelopes,South,Texas,Houston,1,43.83,0.3,30.68,26.04,4.64,Delivered,
CUST-1390,Andrew Thompson,Consumer,ORD-10013,2025-10-12,2025-10-15,Second Class,PROD-1103,Metal Frame Bookshelf Gen-3,Furniture,Bookcases,South,Virginia,Richmond,1,744.71,0.2,595.77,421.97,173.8,Delivered,
CUST-1390,Andrew Thompson,Consumer,ORD-10013,2025-10-12,2025-10-15,Second Class,PROD-1112,Bluetooth Headphones Gen-3,Technology,Accessories,South,Virginia,Richmond,4,675.2,0.2,2160.64,1656.89,503.75,Delivered,
CUST-1390,Andrew Thompson,Consumer,ORD-10013,2025-10-12,2025-10-15,Second Class,PROD-1402,Drafting Pens Precision Gen-3,Office Supplies,Art,South,Virginia,Richmond,2,142.73,0.15,242.64,233.67,8.97,Delivered,
CUST-1390,Andrew Thompson,Consumer,ORD-10013,2025-10-12,2025-10-15,Second Class,PROD-1373,Gaming Chair with Support Gen-4,Furniture,Chairs,South,Virginia,Richmond,1,566.7,0.3,396.69,349.26,47.43,Delivered,
CUST-2860,Jane Adams,Corporate,ORD-10014,2025-04-28,2025-04-28,Same Day,PROD-1379,Samsung Galaxy S24 Gen-5,Technology,Phones,Central,Indiana,Indianapolis,3,285.37,0.1,770.5,475.77,294.73,Delivered,
CUST-1838,John Hall,Consumer,ORD-10015,2024-10-01,2024-10-06,Standard Class,PROD-1019,External Hard Drive 2TB Model Pro,Technology,Accessories,South,Virginia,Richmond,3,56.81,0.3,119.3,101.25,18.05,Delivered,
CUST-1838,John Hall,Consumer,ORD-10015,2024-10-01,2024-10-06,Standard Class,PROD-1254,Epson WorkForce Pro Gen-3,Technology,Copiers,South,Virginia,Richmond,3,242.63,0.15,618.71,654.03,-35.32,Delivered,
CUST-2867,Joseph Perez,Consumer,ORD-10016,2024-06-10,2024-06-17,Standard Class,PROD-1106,Acrylic Paint Set 24-Colors Gen-5,Office Supplies,Art,Central,Wisconsin,Milwaukee,2,212.4,0.1,382.32,303.32,79.0,Delivered,
CUST-2867,Joseph Perez,Consumer,ORD-10016,2024-06-10,2024-06-17,Standard Class,PROD-1265,Drafting Pens Precision Gen-5,Office Supplies,Art,Central,Wisconsin,Milwaukee,1,317.54,0.0,317.54,190.86,126.68,Delivered,
CUST-2732,Richard White,Consumer,ORD-10017,2025-02-04,2025-02-08,Standard Class,PROD-1388,LED Desk Lamp USB Gen-3,Furniture,Furnishings,South,Georgia,Atlanta,2,388.55,0.0,777.1,427.16,349.94,Delivered,
CUST-2732,Richard White,Consumer,ORD-10017,2025-02-04,2025-02-08,Standard Class,PROD-1484,Floating Shelf Set 3-Pack Gen-5,Furniture,Bookcases,South,Georgia,Atlanta,3,468.19,0.0,1404.57,1056.56,348.01,Delivered,
CUST-1290,Richard Williams,Consumer,ORD-10018,2024-06-11,2024-06-13,First Class,PROD-1396,Self-Seal Mailing Envelopes Gen-5,Office Supplies,Envelopes,West,Arizona,Phoenix,2,458.18,0.0,916.36,540.46,375.9,Returned,Defective
CUST-1889,Sarah Lewis,Consumer,ORD-10019,2024-10-03,2024-10-07,Second Class,PROD-1069,File Drawer Storage Box Model Plus,Office Supplies,Storage,South,Virginia,Richmond,2,54.12,0.3,75.77,64.3,11.47,Delivered,
CUST-1889,Sarah Lewis,Consumer,ORD-10019,2024-10-03,2024-10-07,Second Class,PROD-1328,iPhone SE Gen-3,Technology,Phones,South,Virginia,Richmond,2,623.51,0.3,872.91,1036.78,-163.87,Delivered,
CUST-1853,Andrew Adams,Consumer,ORD-10020,2024-07-25,2024-08-01,Standard Class,PROD-1248,Monitor Mount Arm Gen-2,Furniture,Furnishings,East,Massachusetts,Boston,1,665.87,0.1,599.28,425.5,173.78,Delivered,
CUST-1589,Mark Thomas,Consumer,ORD-10021,2024-12-02,2024-12-04,Second Class,PROD-1491,Index Dividers 8-Tab Gen-5,Office Supplies,Binders,East,New York,New York,4,313.23,0.1,1127.63,877.24,250.39,Delivered,
CUST-2652,Kenneth Harris,Consumer,ORD-10022,2025-09-19,2025-09-23,Standard Class,PROD-1393,Heavy Duty Paper Shredder Gen-4,Technology,Machines,West,Arizona,Phoenix,1,235.05,0.05,223.3,142.8,80.5,Delivered,
CUST-2652,Kenneth Harris,Consumer,ORD-10022,2025-09-19,2025-09-23,Standard Class,PROD-1323,Monitor Mount Arm Gen-3,Furniture,Furnishings,West,Arizona,Phoenix,2,113.75,0.0,227.5,182.86,44.64,Delivered,
CUST-2652,Kenneth Harris,Consumer,ORD-10022,2025-09-19,2025-09-23,Standard Class,PROD-1237,Ergonomic Office Chair Gen-2,Furniture,Chairs,West,Arizona,Phoenix,2,150.65,0.0,301.3,252.0,49.3,Delivered,
CUST-2652,Kenneth Harris,Consumer,ORD-10022,2025-09-19,2025-09-23,Standard Class,PROD-1094,3D Printer Pro Gen-5,Technology,Machines,West,Arizona,Phoenix,1,400.18,0.0,400.18,225.14,175.04,Delivered,
CUST-2857,Joseph Gonzalez,Consumer,ORD-10023,2024-07-20,2024-07-26,Standard Class,PROD-1010,HP LaserJet Enterprise Model Pro,Technology,Copiers,West,Oregon,Portland,1,1021.85,0.0,1021.85,715.3,306.55,Delivered,
CUST-2857,Joseph Gonzalez,Consumer,ORD-10023,2024-07-20,2024-07-26,Standard Class,PROD-1360,Graph Paper Notebook Gen-4,Office Supplies,Paper,West,Oregon,Portland,3,256.6,0.0,769.8,492.42,277.38,Delivered,
CUST-2857,Joseph Gonzalez,Consumer,ORD-10023,2024-07-20,2024-07-26,Standard Class,PROD-1160,Heavy Duty Paper Shredder Gen-3,Technology,Machines,West,Oregon,Portland,1,550.94,0.0,550.94,306.83,244.11,Delivered,
CUST-2857,Joseph Gonzalez,Consumer,ORD-10023,2024-07-20,2024-07-26,Standard Class,PROD-1325,Ruled Notepad Set 5-Pack Gen-5,Office Supplies,Paper,West,Oregon,Portland,4,787.34,0.0,3149.36,2025.88,1123.48,Delivered,
CUST-1122,Ashley Taylor,Corporate,ORD-10024,2024-07-21,2024-07-24,Second Class,PROD-1244,Metal Frame Bookshelf Gen-5,Furniture,Bookcases,East,New Jersey,Newark,1,332.9,0.1,299.61,169.41,130.2,Delivered,
CUST-1122,Ashley Taylor,Corporate,ORD-10024,2024-07-21,2024-07-24,Second Class,PROD-1302,Ruled Notepad Set 5-Pack Gen-5,Office Supplies,Paper,East,New Jersey,Newark,4,590.82,0.0,2363.28,1414.4,948.88,Delivered,
CUST-1096,Anthony Miller,Corporate,ORD-10025,2025-08-03,2025-08-07,Standard Class,PROD-1069,File Drawer Storage Box Model Plus,Office Supplies,Storage,South,North Carolina,Charlotte,1,54.12,0.15,46.0,32.15,13.85,Delivered,
CUST-2842,John Williams,Consumer,ORD-10026,2024-03-23,2024-03-25,Second Class,PROD-1068,Plastic Storage Totes 4-Pack Model Elite,Office Supplies,Storage,South,Florida,Miami,1,36.3,0.1,32.67,21.56,11.11,Delivered,
CUST-1964,Ashley Wright,Consumer,ORD-10027,2025-03-20,2025-03-24,Standard Class,PROD-1054,Colored Cardstock Pack Model Classic,Office Supplies,Paper,Central,Wisconsin,Milwaukee,3,7.92,0.0,23.76,13.08,10.68,Delivered,
CUST-1856,Margaret Adams,Consumer,ORD-10028,2025-06-23,2025-06-26,Second Class,PROD-1367,Desktop Organizer Tiered Gen-3,Office Supplies,Storage,South,Georgia,Atlanta,3,98.42,0.4,177.16,189.54,-12.38,Delivered,
CUST-1856,Margaret Adams,Consumer,ORD-10028,2025-06-23,2025-06-26,Second Class,PROD-1321,3D Printer Pro Gen-4,Technology,Machines,South,Georgia,Atlanta,2,90.73,0.0,181.46,156.58,24.88,Delivered,
CUST-1306,Joshua Johnson,Consumer,ORD-10029,2024-10-20,2024-10-24,Standard Class,PROD-1006,Moto G Power Model Elite,Technology,Phones,Central,Michigan,Detroit,4,1001.39,0.0,4005.56,2803.88,1201.68,Delivered,
CUST-1306,Joshua Johnson,Consumer,ORD-10029,2024-10-20,2024-10-24,Standard Class,PROD-1198,Graph Paper Notebook Gen-5,Office Supplies,Paper,Central,Michigan,Detroit,5,424.36,0.0,2121.8,1365.65,756.15,Delivered,
CUST-2367,Betty Williams,Home Office,ORD-10030,2024-01-09,2024-01-15,Standard Class,PROD-1067,Pocket Folder Pack 10-Pack Model X,Office Supplies,Binders,South,North Carolina,Charlotte,4,45.97,0.15,156.3,109.21,47.09,Delivered,
CUST-2367,Betty Williams,Home Office,ORD-10030,2024-01-09,2024-01-15,Standard Class,PROD-1456,Sheet Protectors 100-Pack Gen-2,Office Supplies,Binders,South,North Carolina,Charlotte,1,156.3,0.4,93.78,94.68,-0.9,Delivered,
CUST-2367,Betty Williams,Home Office,ORD-10030,2024-01-09,2024-01-15,Standard Class,PROD-1226,Standing Desk Electric Gen-4,Furniture,Tables,South,North Carolina,Charlotte,3,212.25,0.0,636.75,518.59,118.16,Delivered,
CUST-2367,Betty Williams,Home Office,ORD-10030,2024-01-09,2024-01-15,Standard Class,PROD-1099,Label Maker Wireless Gen-3,Technology,Machines,South,North Carolina,Charlotte,2,381.26,0.1,686.27,492.33,193.94,Delivered,
CUST-1369,Donald Perez,Corporate,ORD-10031,2025-04-27,2025-04-29,Second Class,PROD-1304,Heavy Duty Paper Shredder Gen-2,Technology,Machines,West,Oregon,Portland,2,793.27,0.1,1427.89,827.42,600.47,Delivered,
CUST-1369,Donald Perez,Corporate,ORD-10031,2025-04-27,2025-04-29,Second Class,PROD-1489,Plastic Storage Totes 4-Pack Gen-4,Office Supplies,Storage,West,Oregon,Portland,1,482.6,0.0,482.6,365.56,117.04,Delivered,
CUST-1689,Karen Martin,Consumer,ORD-10032,2025-05-24,2025-05-26,First Class,PROD-1188,Drafting Table Adjustable Gen-2,Furniture,Tables,West,Washington,Seattle,4,301.44,0.1,1085.18,798.08,287.1,Delivered,
CUST-1689,Karen Martin,Consumer,ORD-10032,2025-05-24,2025-05-26,First Class,PROD-1201,Corner Bookshelf Unit Gen-5,Furniture,Bookcases,West,Washington,Seattle,4,461.57,0.3,1292.4,1104.08,188.32,Delivered,
CUST-2445,John Lee,Consumer,ORD-10033,2024-01-06,2024-01-09,Second Class,PROD-1109,Folding Work Bench Gen-3,Furniture,Tables,South,Florida,Miami,2,269.24,0.0,538.48,322.34,216.14,Delivered,
CUST-1918,Joshua Gonzalez,Consumer,ORD-10034,2025-02-22,2025-02-26,Second Class,PROD-1490,Cash Register Terminal Gen-5,Technology,Machines,East,New Jersey,Newark,2,517.63,0.1,931.73,670.26,261.47,Delivered,
