Row ID,Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Customer Name,Segment,Country,City,State,Postal Code,Region,Product ID,Category,Sub-Category,Product Name,Sales,Quantity,Discount,Profit
1,CA-2022-725291,2022-01-01,2022-01-05,Second Class,CDA-00101,Davis Ltd #3,Corporate,United States,Phoenix,Arizona,85001,West,FUR-BO-10000023,Furniture,Bookcases,Bookcases SKU-023 (Premium Quality),201.15,9,0.2,-20.11
2,CA-2022-656964,2022-01-01,2022-01-08,Standard Class,HLA-00038,Laura Williams,Home Office,United States,Dallas,Texas,75201,Central,FUR-BO-10000004,Furniture,Bookcases,Bookcases SKU-004 (Premium Quality),200.43,8,0.4,-93.53
3,CA-2022-752459,2022-01-01,2022-01-02,First Class,HRA-00140,Rachel Moore,Home Office,United States,Milwaukee,Wisconsin,53202,Central,TEC-PH-10000400,Technology,Phones,Phones SKU-010 (Premium Quality),398.44,8,0.3,-0.0
4,CA-2022-367665,2022-01-01,2022-01-04,Standard Class,CMA-00117,Mary Brown,Consumer,United States,Atlanta,Georgia,30303,South,FUR-CH-10000031,Furniture,Chairs,Chairs SKU-001 (Premium Quality),64.06,3,0.3,-13.73
5,CA-2022-245668,2022-01-01,2022-01-05,Second Class,CTH-00092,Thomas & Sons #6,Corporate,United States,Nashville,Tennessee,37203,South,FUR-BO-10000005,Furniture,Bookcases,Bookcases SKU-005 (Premium Quality),124.33,8,0.4,-58.01
6,CA-2022-319818,2022-01-01,2022-01-08,Standard Class,HNO-00044,Nora Miller,Home Office,United States,Chicago,Illinois,60611,Central,TEC-CO-10000495,Technology,Copiers,Copiers SKU-015 (Premium Quality),404.48,1,0.0,182.02
7,CA-2022-498232,2022-01-02,2022-01-03,First Class,CRO-00014,Rodriguez Partners #3,Corporate,United States,Charlotte,North Carolina,28202,South,OFF-BI-10000180,Office Supplies,Binders,Binders SKU-030 (Premium Quality),38.19,8,0.2,7.16
8,CA-2022-702833,2022-01-03,2022-01-05,First Class,CRO-00028,Rodriguez Partners #9,Corporate,United States,San Antonio,Texas,78201,Central,FUR-FU-10000116,Furniture,Furnishings,Furnishings SKU-026 (Premium Quality),30.68,4,0.0,6.14
9,CA-2022-684905,2022-01-03,2022-01-08,Standard Class,CMI-00001,Michael Smith,Consumer,United States,Baltimore,Maryland,21201,East,FUR-FU-10000118,Furniture,Furnishings,Furnishings SKU-028 (Premium Quality),21.13,4,0.2,0.0
10,CA-2022-415201,2022-01-04,2022-01-06,First Class,CWH-00129,White & Sons #2,Corporate,United States,San Diego,California,92109,West,OFF-PA-10000217,Office Supplies,Paper,Paper SKU-007 (Premium Quality),4.9,1,0.0,1.96
11,CA-2022-408581,2022-01-04,2022-01-04,Same Day,CAN-00015,Anderson Ventures #2,Corporate,United States,Detroit,Michigan,48201,Central,OFF-BI-10000171,Office Supplies,Binders,Binders SKU-021 (Premium Quality),31.41,8,0.3,2.24
12,CA-2022-523310,2022-01-04,2022-01-05,First Class,CBA-00106,Barbara Davis,Consumer,United States,Wilmington,Delaware,19801,East,OFF-AP-10000144,Office Supplies,Appliances,Appliances SKU-024 (Premium Quality),96.42,4,0.0,24.11
13,CA-2022-994258,2022-01-04,2022-01-08,Second Class,CJE-00041,Jessica Garcia,Consumer,United States,New York City,New York,10011,East,OFF-AP-10000128,Office Supplies,Appliances,Appliances SKU-008 (Premium Quality),194.43,9,0.2,12.15
